nr,Name,Plate,Fibre Volume Fraction,Lab,Laminate ,Cut angle ,Manufacturer,Geometry,Material,taverage,wmax,wmin,waverage,area,Lnominal,Lmeasured,Lgauge,Radius (waist),TG and phase,Phase,start date,end date,Test type,R-value1,Fmax,Ferror,Fstatic,Ffatigue,"Fmax, 90",epsmax,epsstatic,epsfatigue,eps90,eps45,Nu,smax,"smax,static","smax, fatigue",shear strain,shear strength,shear modulus (near other moduli),Torquemax,Torquefatigue,Torquestatic,Ncycles,level,levelcalc,Nspectrum,failure mode,runout,R-value2,Fmax2,epsmax2,smax2,Ncycles2,ratedisplacement,f,f2,Eit,Eic,Eft,Efc,"Elur,front","Elur, back",eps_max_t,eps_max_c,Machine,control,grip,ABG,Temp.,Temp. control,Environment,Reference document,Remarks,Invalid ,Bending ,Buckling ,Overheating,Tab failure ,Delaminated ,Incomplete measurement data ,Strain from E ,LUR,TEC,data delivered under name,Repair characteristics,Strain measurement equipment (long),Strain measurement equipment (short),Grip pressure,time per test
41,GEV201_R0100_0001,GEV02014,#N/B,WMC,UD1,0,LM,R0100,GE1,4.55,,24.99,24.99,113.70,170,,50.00,,P1,P1,05/06/2002,05/06/2002,STT,,100.00,,100.00,,,,,,,,,879.47,879.47,,,,,22304.66,,,1,,,,t,,,,,,,,,,39.43,,,,,,0.0223,#DELING.DOOR.0!,,,,n,,,"d, RT",,test > 100kN; followed by 2nd test (87.4 kN),,,,,x,,,,,,PR01T01,,,,,0.25
44,GEV201_R0100_0004,GEV02014,#N/B,RISØ,UD1,0,LM,R0100,GE1,4.40,,25.00,25.00,110.00,170,,50.00,,P1,P1,,,,,,,,,,3.59,,,,,,,,,,,,#DELING.DOOR.0!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S04,,,,,
46,GEV201_R0100_0006,GEV02014,#N/B,WMC,UD1,0,LM,R0100,GE1,4.55,,25.21,25.21,114.58,170,,50.00,,P1,P1,05/06/2002,05/06/2002,STC,,-53.91,,-53.91,,,-1.19,-1.19,,,,,-470.50,-470.50,,,,,-11827.34,,,1,,,,c,,,,,,,,,,,39.78,,,,,#DELING.DOOR.0!,-0.0118,,,,n,,,"d, RT",,,,,,,,,,,,,PR01C06,,,,,0.25
49,GEV201_R0100_0009,GEV02014,#N/B,RISØ,UD1,0,LM,R0100,GE1,4.40,,25.00,25.00,110.00,170,,50.00,,P1,P1,,,,,,,,,,1.26,,,,,,,,,,,,#DELING.DOOR.0!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S09,,,,,
51,GEV201_R0100_0011,GEV02014,#N/B,WMC,UD1,0,LM,R0100,GE1,4.55,,25.17,25.17,114.52,170,,50.00,,P1,P1,06/06/2002,06/06/2002,STT,,96.41,,96.41,,,,,,,,,841.84,841.84,,,,,21299.90,,,1,,,,t,,,,,,,,,,39.52,,,,,,0.0213,#DELING.DOOR.0!,,,,n,,,"d, RT",,,,,,,x,,,,,,PR01T11,,,,,0.25
54,GEV201_R0100_0014,GEV02014,#N/B,RISØ,UD1,0,LM,R0100,GE1,4.48,,25.28,25.28,113.25,170,,50.00,,P1,P1,,,,,,,,,,2.28,,,,,,,,,,,,#DELING.DOOR.0!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S14,,,,,
56,GEV201_R0100_0016,GEV02014,#N/B,WMC,UD1,0,LM,R0100,GE1,4.59,,25.03,25.03,114.76,170,,50.00,,P1,P1,05/06/2002,05/06/2002,STC,,-58.06,,-58.06,,,-1.27,-1.27,,,,,-505.91,-505.91,,,,,-12891.83,,,1,,,,c,,,,,,,,,,,39.24,,,,,#DELING.DOOR.0!,-0.0129,,,,n,,,"d, RT",,,,,,,,,,,,,PR01C16,,,,,0.25
59,GEV201_R0100_0019,GEV02014,#N/B,RISØ,UD1,0,LM,R0100,GE1,4.50,,25.11,25.11,113.00,170,,50.00,,P1,P1,,,,,,,,,,0.00,,,,,,,,,,,,#DELING.DOOR.0!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S19,,,,,
61,GEV201_R0100_0021,GEV02014,#N/B,WMC,UD1,0,LM,R0100,GE1,4.60,,25.13,25.13,115.60,170,,50.00,,P1,P1,05/06/2002,05/06/2002,STC,,-68.60,,-68.60,,,-1.50,-1.50,,,,,-593.44,-593.44,,,,,-14808.13,,,1,,,,c,,,,,,,,,,,40.08,,,,,#DELING.DOOR.0!,-0.0148,,,,n,,,"d, RT",,,,,,,,,,,,,PR01C21,,,,,0.25
64,GEV201_R0100_0024,GEV02014,#N/B,RISØ,UD1,0,LM,R0100,GE1,4.59,,25.14,25.14,115.39,170,,50.00,,P1,P1,,,,,,,,,,-2.69,,,,,,,,,,,,#DELING.DOOR.0!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S24,,,,,
66,GEV201_R0100_0026,GEV02014,#N/B,WMC,UD1,0,LM,R0100,GE1,4.61,,25.25,25.25,116.28,170,,50.00,,P1,P1,06/06/2002,06/06/2002,STT,,87.41,,87.41,,,-1.96,-1.96,,,,,751.74,751.74,,,,,19182.04,,,1,,,,t,,,,,,,,,,39.19,,,,,,0.0192,#DELING.DOOR.0!,"250 kN homebuilt, WMC",,,n,,,"d, RT",,,,,,,,,,,,,PR01T26,,,,,0.25
69,GEV201_R0100_0029,GEV02014,#N/B,RISØ,UD1,0,LM,R0100,GE1,4.62,,25.10,25.10,115.96,170,,50.00,,P1,P1,,,,,,,,,,,,,,,,,,,,,,#DELING.DOOR.0!,,,0,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,not tested,x,,,,,,,,,,S29,,,,,
71,GEV201_R0100_0031,GEV02014,#N/B,WMC,UD1,0,LM,R0100,GE1,4.54,,25.14,25.14,114.01,170,,50.00,,P1,P1,05/06/2002,06/06/2002,CA,-1,35.00,,,35.00,,0.77,,0.77,,,,306.99,,306.99,,,,#WAARDE!,,,13655,,0,,,,,,,,,,1.00,,40.30,,,,,,,,,,,n,,,"d, RT",,,,,,,,,,,,,PR01F31,,,,,3.79
74,GEV201_R0100_0034,GEV02014,#N/B,RISØ,UD1,0,LM,R0100,GE1,4.60,,25.17,25.17,115.78,170,,50.00,,P1,P1,,,,,,,,,,,,,,,,,,,,,,#DELING.DOOR.0!,,,0,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,not tested,x,,,,,,,,,,S34,,,,,
76,GEV201_R0100_0036,GEV02014,#N/B,WMC,UD1,0,LM,R0100,GE1,4.55,,25.14,25.14,114.39,170,,50.00,,P1,P1,06/06/2002,07/06/2002,CA,-1,30.00,,,30.00,,0.66,,0.66,,,,262.27,,262.27,,,,#WAARDE!,,,24325,,0,,,,,,,,,,2.00,,39.95,,,,,,,,,,,n,,,"d, RT",,,,,,,,,,,,,PR01F36,,,,,3.38
79,GEV201_R0100_0039,GEV02014,#N/B,RISØ,UD1,0,LM,R0100,GE1,4.53,,25.00,25.00,113.25,170,,50.00,,P1,P1,,,,0.1,,,,,,0.00,,,,,,,,,,,,#DELING.DOOR.0!,,,435,,,,,,,,,,,,4.00,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,CA invalid,x,,,,,,,,,,S39,,,,,0.03
83,GEV202_D0100_0001,GEV02015,#N/B,WMC,MUD1,0,LM,D0100,GE1,5.62,,23.19,23.19,130.33,170,,70.00,100.00,P1,P1,10/06/2002,10/06/2002,STT,,92.83,,92.83,,,,,,,,,712.28,712.28,,,,,#DELING.DOOR.0!,,,1,,,,t,,,,,,,,,,,,,,,,,,,,,n,,,"d, RT",,teared out,,,,,,,,,,,PD02T01,,,,,0.25
86,GEV202_D0100_0004,GEV02015,#N/B,RISØ,MUD1,0,LM,D0100,GE1,5.62,,23.42,23.42,131.62,170,,70.00,100.00,P1,P1,,,CA,0.1,65.00,,,65.00,,0.00,,,,,,493.84,,493.84,,,,#WAARDE!,,,100,,0,,,,,,,,,,5.00,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,,,,,,,,,,,D04,,,,,0.01
88,GEV202_D0100_0006,GEV02015,#N/B,WMC,MUD1,0,LM,D0100,GE1,5.65,,23.36,23.36,131.87,170,,70.00,100.00,P1,P1,11/06/2002,11/06/2002,STT,,90.84,,90.84,,,,,,,,,688.87,688.87,,,,,#DELING.DOOR.0!,,,1,,,,t,,,,,,,,,,,,,,,,,,,,,n,,,"d, RT",,teared out,,,,,,,,,,,PD02T06,,,,,0.25
91,GEV202_D0100_0009,GEV02015,#N/B,RISØ,MUD1,0,LM,D0100,GE1,5.65,,23.18,23.18,130.97,170,,70.00,100.00,P1,P1,,,CA,0.1,40.00,,,40.00,,0.00,,,,,,305.42,,305.42,,,,#WAARDE!,,,46046,,0,,,,,,,,,,5.00,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,,,,,,,,,,,D09,,,,,2.56
93,GEV202_D0100_0011,GEV02015,#N/B,WMC,MUD1,0,LM,D0100,GE1,5.59,,23.37,23.37,130.64,170,,70.00,100.00,P1,P1,10/06/2002,11/06/2002,CA,-1,30.00,,,30.00,,,,,,,,229.64,,229.64,,,,#WAARDE!,,,82468,,0,,,,,,,,,,2.00,,,,,,,,,,,,,n,,,"d, RT",,teared out; no strain meas.,,,,,,,,,,,PD02F11,,,,,11.45
96,GEV202_D0100_0014,GEV02015,#N/B,RISØ,MUD1,0,LM,D0100,GE1,5.63,,23.49,23.49,132.25,170,,70.00,100.00,P1,P1,,,CA,0.1,40.00,,,40.00,,0.00,,,,,,302.46,,302.46,,,,#WAARDE!,,,23400,,0,,,,,,,,,,5.00,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,,,,,,,,,,,D14,,,,,1.30
98,GEV202_D0100_0016,GEV02015,#N/B,WMC,MUD1,0,LM,D0100,GE1,5.60,,23.39,23.39,130.98,170,,70.00,100.00,P1,P1,11/06/2002,11/06/2002,CA,-1,35.00,,,35.00,,,,,,,,267.21,,267.21,,,,#WAARDE!,,,9305,,0,,,,,,,,,,2.00,,,,,,,,,,,,,n,,,"d, RT",,near tab; no strain meas.,,,,,,,,,,,PD02F16,,,,,1.29
101,GEV202_D0100_0019,GEV02015,#N/B,RISØ,MUD1,0,LM,D0100,GE1,5.68,,23.48,23.48,133.37,170,,70.00,100.00,P1,P1,,,CA,0.1,35.00,,,35.00,,0.00,,,,,,262.43,,262.43,,,,#WAARDE!,,,173000,,0,,,,,,,,,,5.00,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,,,,,,,,,,,D19,,,,,9.61
103,GEV202_D0100_0021,GEV02015,#N/B,WMC,MUD1,0,LM,D0100,GE1,5.66,,23.42,23.42,132.56,170,,70.00,100.00,P1,P1,12/06/2002,12/06/2002,STC,,-55.79,,-55.79,,,-1.14,-1.14,,,,,-420.87,-420.87,,,,,-11237.12,,,1,,,,c,,,,,,,,,,,37.45,,,,,#DELING.DOOR.0!,-0.0112,,,,n,,,"d, RT",,,,,x,,,x,,,,,PD02C21,,,,,0.25
108,GEV202_D0100_0026,GEV02015,#N/B,WMC,MUD1,0,LM,D0100,GE1,5.65,,23.35,23.35,131.81,170,,70.00,100.00,P1,P1,12/06/2002,12/06/2002,STC,,-56.61,,-56.61,,,-1.16,-1.16,,,,,-429.48,-429.48,,,,,-11271.83,,,1,,,,c,,,,,,,,,,,38.10,,,,,#DELING.DOOR.0!,-0.0113,,,,n,,,"d, RT",,,,,x,,,x,,,,,PD02C26,,,,,0.25
113,GEV202_D0100_0031,GEV02015,#N/B,WMC,MUD1,0,LM,D0100,GE1,5.68,,23.52,23.52,133.48,170,,70.00,100.00,P1,P1,12/06/2002,12/06/2002,STC,,-52.69,,-52.69,,,-1.08,-1.08,,,,,-394.75,-394.75,,,,,-10399.45,,,1,,,,c,,,,,,,,,,,37.96,,,,,#DELING.DOOR.0!,-0.0104,,,,n,,,"d, RT",,,,,x,,,x,,,,,PD02C31,,,,,0.25
126,GEV202_R0100_0004,GEV02015,#N/B,RISØ,MUD1,0,LM,R0100,GE1,5.64,,25.30,25.30,142.69,170,,50.00,,P1,P1,,,,,,,,,,4.17,,,,,,,,,,,,#DELING.DOOR.0!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S04,,,,,
128,GEV202_R0100_0006,GEV02015,#N/B,WMC,MUD1,0,LM,R0100,GE1,5.62,,24.92,24.92,140.05,170,,50.00,,P1,P1,11/06/2002,11/06/2002,STT,,96.58,,96.58,,,,,,,,,689.61,689.61,,,,,#DELING.DOOR.0!,,,1,,,,t,,,,,,,,,,,,,,,,,,,,,n,,,"d, RT",,,,,,,x,,,,,,PR02T06,,,,,0.25
131,GEV202_R0100_0009,GEV02015,#N/B,RISØ,MUD1,0,LM,R0100,GE1,5.67,,25.30,25.30,143.45,170,,50.00,,P1,P1,,,,,,,,,,4.34,,,,,,,,,,,,#DELING.DOOR.0!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S09,,,,,
133,GEV202_R0100_0011,GEV02015,#N/B,WMC,MUD1,0,LM,R0100,GE1,5.65,,25.30,25.30,142.95,170,,50.00,,P1,P1,11/06/2002,11/06/2002,STT,,96.52,,96.52,,,,,,,,,675.22,675.22,,,,,#DELING.DOOR.0!,,,1,,,,t,,,,,,,,,,,,,,,,,,,,,n,,,"d, RT",,,,,,,x,,,,,,PR02T11,,,,,0.25
136,GEV202_R0100_0014,GEV02015,#N/B,RISØ,MUD1,0,LM,R0100,GE1,5.64,,25.34,25.34,142.92,170,,50.00,,P1,P1,,,,,,,,,,4.81,,,,,,,,,,,,#DELING.DOOR.0!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S14,,,,,
138,GEV202_R0100_0016,GEV02015,#N/B,WMC,MUD1,0,LM,R0100,GE1,5.64,,24.91,24.91,140.49,170,,50.00,,P1,P1,11/06/2002,11/06/2002,CA,-1,35.00,,,35.00,,,,,,,,249.12,,249.12,,,,#WAARDE!,,,11674,,0,,,,,,,,,,2.00,,,,,,,,,,,,,n,,,"d, RT",,near tab; no strain meas.,,,,,,,,,,,PR02F16,,,,,1.62
141,GEV202_R0100_0019,GEV02015,#N/B,RISØ,MUD1,0,LM,R0100,GE1,5.67,,25.27,25.27,143.28,170,,50.00,,P1,P1,,,,,,,,,,-4.53,,,,,,,,,,,,#WAARDE!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S19,,,,,
143,GEV202_R0100_0021,GEV02015,#N/B,WMC,MUD1,0,LM,R0100,GE1,5.60,,25.15,25.15,140.71,170,,50.00,,P1,P1,11/06/2002,11/06/2002,CA,-1,35.00,,,35.00,,,,,,,,248.73,,248.73,,,,#WAARDE!,,,9153,,0,,,,,,,,,,2.00,,,,,,,,,,,,,n,,,"d, RT",,near tab; no strain meas.,,,,,,,,,,,PR02F21,,,,,1.27
146,GEV202_R0100_0024,GEV02015,#N/B,RISØ,MUD1,0,LM,R0100,GE1,5.72,,24.98,24.98,142.89,170,,50.00,,P1,P1,,,,,,,,,,,,,,,,,,,,,,#WAARDE!,,,0,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,not tested,x,,,,,,,,,,S24,,,,,
148,GEV202_R0100_0026,GEV02015,#N/B,WMC,MUD1,0,LM,R0100,GE1,5.64,,25.26,25.26,142.47,170,,50.00,,P1,P1,12/06/2002,12/06/2002,STC,,-69.21,,-69.21,,,-1.40,-1.40,,,,,-485.80,-485.80,,,,,-14136.85,,,1,,,,c,,,,,,,,,,,34.36,,,,,#DELING.DOOR.0!,-0.0141,,,,n,,,"d, RT",,,,,x,,,x,,,,,PR02C26,,,,,0.25
151,GEV202_R0100_0029,GEV02015,#N/B,RISØ,MUD1,0,LM,R0100,GE1,5.72,,24.98,24.98,142.89,170,,50.00,,P1,P1,,,,,,,,,,-3.10,,,,,,,,,,,,#WAARDE!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S29,,,,,
153,GEV202_R0100_0031,GEV02015,#N/B,WMC,MUD1,0,LM,R0100,GE1,5.70,,25.30,25.30,144.08,170,,50.00,,P1,P1,12/06/2002,12/06/2002,STC,,-73.49,,-73.49,,,-1.54,-1.54,,,,,-510.05,-510.05,,,,,-14890.27,,,1,,,,c,,,,,,,,,,,34.25,,,,,#DELING.DOOR.0!,-0.0149,,,,n,,,"d, RT",,,,,x,,,x,,,,,PR02C31,,,,,0.25
156,GEV202_R0100_0034,GEV02015,#N/B,RISØ,MUD1,0,LM,R0100,GE1,5.66,,25.29,25.29,143.14,170,,50.00,,P1,P1,,,,,,,,0.00,,,,,,,,,,,,,,#WAARDE!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S34,,,,,
158,GEV202_R0100_0036,GEV02015,#N/B,WMC,MUD1,0,LM,R0100,GE1,5.63,,24.85,24.85,139.78,170,,50.00,,P1,P1,12/06/2002,12/06/2002,STC,,-71.21,,-71.21,,,-1.54,-1.54,,,,,-509.44,-509.44,,,,,-14548.33,,,1,,,,c,,,,,,,,,,,35.02,,,,,#DELING.DOOR.0!,-0.0145,,,,n,,,"d, RT",,,,,x,,,x,,,,,PR02C36,,,,,0.25
161,GEV202_R0100_0039,GEV02015,#N/B,RISØ,MUD1,0,LM,R0100,GE1,5.57,,25.37,25.37,141.31,170,,50.00,,P1,P1,,,,,,,,0.00,,,,,,,,,,,,,,#WAARDE!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S39,,,,,
165,GEV203_D0100_0001,GEV02016,#N/B,WMC,MD1,0,LM,D0100,GE1,7.90,,23.04,23.04,182.02,170,,70.00,100.00,P1,P1,13/06/2002,13/06/2002,,,,,,,,,,,,,,,,,,,,#DELING.DOOR.0!,,,1,,,,,,,,,,,,,,,,,,,,,,,,,n,,,"d, RT",,,x,,,,,,,,,,PD03T01,,,,,
170,GEV203_D0100_0006,GEV02016,#N/B,WMC,MD1,0,LM,D0100,GE1,7.70,,23.34,23.34,179.60,170,,70.00,100.00,P1,P1,,,,,,,,,,,,,,,,,,,,,,#DELING.DOOR.0!,,,,,,,t,,,,,,,,,,,,,,,,,,,,,n,,,"d, RT",,not tested,x,,,,,,,,,,PD03T06,,,,,
175,GEV203_D0100_0011,GEV02016,#N/B,WMC,MD1,0,LM,D0100,GE1,7.87,,23.38,23.38,184.00,170,,70.00,100.00,P1,P1,13/06/2002,14/06/2002,CA,-1,35.00,,,35.00,,,,,,,,190.22,,190.22,,,,#WAARDE!,,,36165,,0,,,,,,,,,,2.00,,,,,,,,,,,,,n,,,"d, RT",,near tab; no strain meas.,,,,,,,,,,,PD03F11,,,,,5.02
180,GEV203_D0100_0016,GEV02016,#N/B,WMC,MD1,0,LM,D0100,GE1,7.70,,23.17,23.17,178.41,170,,70.00,100.00,P1,P1,17/06/2002,17/06/2002,CA,-1,35.00,,,35.00,,,,,,,,196.18,,196.18,,,,#WAARDE!,,,172,,0,,,,,,,,,,2.00,,,,,,,,,,,,,n,,,"d, RT",,no strain meas.,,,x,,,,,,,,PD03F16,,,,,0.02
185,GEV203_D0100_0021,GEV02016,#N/B,WMC,MD1,0,LM,D0100,GE1,7.87,,23.34,23.34,183.57,170,,70.00,100.00,P1,P1,14/06/2002,14/06/2002,STC,,-91.72,,-91.72,,,,,,,,,-499.65,-499.65,,,,,#DELING.DOOR.0!,,,1,,,,c,,,,,,,,,,,,,,,,,,,,,n,,,"d, RT",,middle,,,,,,,,,,,PD03C21,,,,,0.25
190,GEV203_D0100_0026,GEV02016,#N/B,WMC,MD1,0,LM,D0100,GE1,7.62,,23.28,23.28,177.28,170,,70.00,100.00,P1,P1,14/06/2002,14/06/2002,STC,,-87.97,,-87.97,,,,,,,,,-496.23,-496.23,,,,,#DELING.DOOR.0!,,,1,,,,c,,,,,,,,,,,,,,,,,,,,,n,,,"d, RT",,middle,,,,,,,,,,,PD03C26,,,,,0.25
195,GEV203_D0100_0031,GEV02016,#N/B,WMC,MD1,0,LM,D0100,GE1,7.86,,23.40,23.40,183.81,170,,70.00,100.00,P1,P1,14/06/2002,14/06/2002,STC,,-81.58,,-81.58,,,,,,,,,-443.84,-443.84,,,,,#DELING.DOOR.0!,,,1,,,,c,,,,,,,,,,,,,,,,,,,,,n,,,"d, RT",,middle,,,,,,,,,,,PD03C31,,,,,0.25
205,GEV203_R0100_0001,GEV02016,#N/B,WMC,MD1,0,LM,R0100,GE1,7.89,,25.40,25.40,200.28,170,,50.00,,P1,P1,,,STT,,96.76,,96.76,,,,,,,,,483.13,483.13,,,,,#DELING.DOOR.0!,,,1,,,,t,,,,,,,,,,,,,,,,,,,,,n,,,"d, RT",,end of test range,,,,,,,,,,,PR03T01,,,,,0.25
208,GEV203_R0100_0004,GEV02016,#N/B,RISØ,MD1,0,LM,R0100,GE1,7.89,,25.59,25.59,201.91,170,,50.00,,P1,P1,,,,,,,,,,1.59,,,,,,,,,,,,#WAARDE!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S04,,,,,
213,GEV203_R0100_0009,GEV02016,#N/B,RISØ,MD1,0,LM,R0100,GE1,7.70,,25.70,25.70,197.89,170,,50.00,,P1,P1,,,,,,,,,,1.14,,,,,,,,,,,,#WAARDE!,,,1,,,,,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",,,,,,"d, RT",,,x,,,,,,,,,,S09,,,,,
